Running with hyperparameters: optimizer=sgd, learning_rate=1.0, batch_size=128, epsilon=10, seed=92, num_epochs=100, delta=1e-05, clip_bound=1.0, problem=2
cuda
Epoch 1, loss  = 1.1312186533708308, accuracy = 0.7211141161936568
Epoch 2, loss  = 1.090045216622383, accuracy = 0.7830610535420683
Epoch 3, loss  = 1.1825777006301799, accuracy = 0.8020180387868799
Epoch 4, loss  = 1.2721845287758151, accuracy = 0.811222379755159
Epoch 5, loss  = 1.3532620598512417, accuracy = 0.8155083711184296
Epoch 6, loss  = 1.3626437246291114, accuracy = 0.8181447741016821
Epoch 7, loss  = 1.3980313733950862, accuracy = 0.8140406828797352
Epoch 8, loss  = 1.398156174845787, accuracy = 0.8141419077754105
Epoch 9, loss  = 1.4059915720526852, accuracy = 0.8142920303250826
Epoch 10, loss  = 1.459935133264009, accuracy = 0.8139274858682178
Epoch 11, loss  = 1.4830764209919138, accuracy = 0.8082221387145505
Epoch 12, loss  = 1.4740114773768607, accuracy = 0.809488820500619
Epoch 13, loss  = 1.4486631609991925, accuracy = 0.8118166495897247
Epoch 14, loss  = 1.4175587975140065, accuracy = 0.8153706314651208
Epoch 15, loss  = 1.3750608834122289, accuracy = 0.8150778786820879
Epoch 16, loss  = 1.401518180299161, accuracy = 0.8136916058135167
Epoch 17, loss  = 1.4015343594652758, accuracy = 0.8125557631632091
Epoch 18, loss  = 1.4469550378414104, accuracy = 0.8137784363910617
Epoch 19, loss  = 1.4264325276493772, accuracy = 0.8088403916479322
Epoch 20, loss  = 1.4360052337016125, accuracy = 0.8150334232604314
Epoch 21, loss  = 1.403203604889831, accuracy = 0.8104368201504936
Epoch 22, loss  = 1.3630820693237695, accuracy = 0.8090353195324281
Epoch 23, loss  = 1.3949065754281433, accuracy = 0.81100079751637
Epoch 24, loss  = 1.4593435089979598, accuracy = 0.8030036243350607
Epoch 25, loss  = 1.3876348364073585, accuracy = 0.8114350510289811
Epoch 26, loss  = 1.3620738961549201, accuracy = 0.8088875862357717
Epoch 27, loss  = 1.397356486396749, accuracy = 0.8055626475634312
Epoch 28, loss  = 1.4268399315602236, accuracy = 0.8061038437987975
Epoch 29, loss  = 1.4389641457147944, accuracy = 0.8058009294767835
Epoch 30, loss  = 1.4351555002904903, accuracy = 0.8076144612698588
Epoch 31, loss  = 1.4323829891585083, accuracy = 0.810005050638194
Epoch 32, loss  = 1.4360054181074537, accuracy = 0.8124503600650128
Epoch 33, loss  = 1.399376743828564, accuracy = 0.8085086826142533
Epoch 34, loss  = 1.4136812838791275, accuracy = 0.8091060223551865
Epoch 35, loss  = 1.4306714707600283, accuracy = 0.8104233804623654
Epoch 36, loss  = 1.4664876809887795, accuracy = 0.8118560333328051
Epoch 37, loss  = 1.4258085334224742, accuracy = 0.8115162306439183
Epoch 38, loss  = 1.4161604869086097, accuracy = 0.8093622563044733
Epoch 39, loss  = 1.4304825017955511, accuracy = 0.8086082677350707
Epoch 40, loss  = 1.4657347087285666, accuracy = 0.8102185413293402
Epoch 41, loss  = 1.5141402916994684, accuracy = 0.8109224767984105
Epoch 42, loss  = 1.4999120161731614, accuracy = 0.8115607452370572
Epoch 43, loss  = 1.5486651692054927, accuracy = 0.8104533767502834
Epoch 44, loss  = 1.5210306345781028, accuracy = 0.8056932836615215
Epoch 45, loss  = 1.4872282310081189, accuracy = 0.8045857410329037
Epoch 46, loss  = 1.5277355514736826, accuracy = 0.8025312535521538
Epoch 47, loss  = 1.5942886877797051, accuracy = 0.8061772371566435
