optimizer_type,problem_type,learning_rate,num_epochs,batch_size,epsilon,delta,clip_bound,seed
adam,2,1e-05,250,256,5,1e-05,1.0,51
adam,2,0.0001,250,128,1,1e-05,1.0,51
adam,2,1e-06,250,128,1,1e-05,1.0,14
adam,2,1e-06,250,256,1,1e-05,1.0,92
adam,2,0.0001,250,256,5,1e-05,1.0,14
adam,2,0.0001,250,128,1,1e-05,1.0,14
adam,2,1e-05,250,128,5,1e-05,1.0,14
adam,2,1e-06,250,128,1,1e-05,1.0,51
adam,2,1e-05,250,256,5,1e-05,1.0,14
adam,2,1e-06,250,256,5,1e-05,1.0,92
adam,2,1e-06,250,256,10,1e-05,1.0,92
adam,2,1e-05,250,256,1,1e-05,1.0,14
adam,2,1e-05,250,128,5,1e-05,1.0,51
adam,2,1e-05,250,256,10,1e-05,1.0,92
adam,2,1e-06,250,256,1,1e-05,1.0,14
adam,2,1e-05,250,128,5,1e-05,1.0,71
adam,2,1e-05,250,128,10,1e-05,1.0,92
adam,2,0.001,250,256,10,1e-05,1.0,71
adam,2,0.001,250,256,1,1e-05,1.0,14
adam,2,0.001,250,256,10,1e-05,1.0,51
adam,2,0.0001,250,256,1,1e-05,1.0,51
adam,2,0.001,250,128,10,1e-05,1.0,71
adam,2,1e-05,250,256,1,1e-05,1.0,71
adam,2,1e-06,250,128,1,1e-05,1.0,71
adam,2,0.0001,250,256,1,1e-05,1.0,14
adam,2,1e-06,250,128,5,1e-05,1.0,92
adam,2,0.001,250,128,1,1e-05,1.0,92
adam,2,1e-06,250,128,5,1e-05,1.0,14
adam,2,0.001,250,128,10,1e-05,1.0,14
adam,2,1e-06,250,128,10,1e-05,1.0,71
adam,2,0.0001,250,256,5,1e-05,1.0,71
adam,2,1e-05,250,256,5,1e-05,1.0,92
adam,2,1e-05,250,128,10,1e-05,1.0,71
adam,2,0.0001,250,256,5,1e-05,1.0,92
adam,2,1e-05,250,128,1,1e-05,1.0,14
adam,2,1e-06,250,256,10,1e-05,1.0,51
adam,2,0.0001,250,256,1,1e-05,1.0,92
adam,2,0.001,250,256,5,1e-05,1.0,71
adam,2,0.001,250,256,1,1e-05,1.0,51
adam,2,0.0001,250,256,10,1e-05,1.0,14
adam,2,1e-06,250,128,1,1e-05,1.0,92
adam,2,0.001,250,128,1,1e-05,1.0,71
